#,;;,en,ru
~7e34f91d,,Did you get it?,Ты достал это?
~66129e7b,,"Erm, no.","Эм, нет."
~efd2cac,,"Then why are you still here? Go, now! Hush.","Тогда зачем ты все еще здесь? Давай беги, сейчас же! Пшёл."
~bd77b470,,I just wanted-,Я просто хотел-
~ff1e1b5d,,GO!,Иди!
~241c094f,,"I got home, finally. Yog is still here, mumbling something.","Наконец-то я добрался домой. Йог все еще здесь, она бормочет что-то."
~76661b81,,<size=60%>Crap. What was her atomic structure again? He's going to be mad...,Черт. Какая у нее была атомная структура? Он рассердится...
~e647335d,,"Hey, Yog. I got what you wanted.","Эй, Йог. У меня то, что ты хотел."
~a23b9839,,Oh! ,О!
~ad3e566e,,!,!
~f5c5033f,,I see Emily materializing in the other side of the room.,"Я вижу, как Эмили материализуется на другой стороне комнаты."
~6e7cbdf5,,Huh? What happened?,А? Что произошло?
~b799e80,,Yog looks at Emily with her vertical eyes. Or whatever that is.,Йог смотрит на Эмили своими вертикальными глазами. Или что это вообще...
~bd3a7664,,Good.,Отлично.
~c6479416,,Wow. What is that you have in your hands. It looks cool. And what is that cloud of bubbles? It can talk...,Вау. Что это у тебя в руках? Выглядит круто. А что это за облако из пузырей? Оно умеет говорить...
~3d70ffcd,,"Wait, you can see her too?","Погоди, ты тоже ее видишь?"
~b968561c,,What do you mean?,Что ты имеешь в виду?
~c5fdc92a,,I don't remember Emily installing that AI-VR implant. Does that mean...?,"Не помню, чтобы Эмили устанавливала этот имплант AI-VR. Это значит...?"
~50969db8,,! Give that thing to me.,! Отдай это.
~b70657fd,,"Hey, hold on a moment. I really like it.","Эй, подожди минутку. Мне эта штука нравится."
~2a135348,,"Yog is getting nervous. She looked at Emily again, and despite her not having eyebrows, I can see her frowning.","Йог начинает нервничать. Она снова взглянула на Эмили, и несмотря на отсутствие у нее бровей, я вижу, как она хмурится."
~e8a3540b,,"It's not something you should play with. You need to give it to me immediately, ","Это не то, с чем стоит играть. Тебе нужно отдать это мне немедленно."
~1d2eed84,,.,.
~f08fc628,,Oh? I won't lose to a fart cloud in an attention-seeking competition.,О? Я не проиграю облаку пердежа в соревнованию по привлечению внимания.
~f3a29eb6,,<size=130%>What did you call me just now?,<size=130%>Чем это ты только что меня назвала?
~4ef12fcc,,"Hey-hey-hey, enough! What I understand is that either you are both not real or both real. That is the single explanation here.","Эй-эй-эй, хватит! Что я понимаю, так это то, что либо вы оба не настоящие, либо оба реальные. Это единственное объяснение."
~615a4c53,,That guy doesn't even follow us.,Он вообще не слушает нас.
~520f206b,,"Hey, I have that item, so I will decide who is going to have it. How about that? I kinda like it too.","Эй, у меня есть эта штука, так что я решу, кто это получит. М? Мне она тоже нравится."
~3feeb355,,... you do remember that I have a birthday in a few days? I would really like that black thing you have in your hands.,"... ты помнишь, что у меня день рождения через несколько дней? Мне бы очень хотелось, чтобы эта черная штучка у тебя в руках."
~9c0a2b9c,,You don't know what you are playing with.,"Вы не знаете, с чем имеете играетесь."
~11359503,,You saw the bar. Didn't that tell you anything? Didn't that at least give you the slightest idea what you are dealing with here?,"Ты видел бар. Разве это не дало вам ни малейшего представления о том, с чем ты столкнулся?"
