#,;;,en,ru,
Q1,,"Go to ""The Bottom""",,"Нужно пойти в ""Низину""."
Q1Desc,,"Yog asked you to obtain ""the means to obtain the item"" that she really needs, and sent you to ""The Bottom"" - the bar not far from home.",,"Йог попросила тебя достать ""средство для получения штуки"" которая ей реально нужна, и послала тебя в ""Низину"" - бар недалеко от дома."
Q2,,Win at the game,,Победить в игре.
Q2Desc,,You need to pass a match two game to prove that your brain is not fried.,,Нужно пройти тест чтобы доказать что твой мозг не прожарен.
Q3,,Obtain the item,,Получить штуку.
Q3Desc,,"Get ""The Item"" that Yog wants.",,"Получить ""штуку"" которая нужна Йог."
Q4,,Go back,,Пойти назад.
Q4Desc,,Return to the bar and ask about how you disappeared.,,Вернуться в бар и спросить как ты пропал.
Q5,,Return home,,Вернуться домой.
Q5Desc,,Go back home and choose what to do with the item you found.,,Вернуться домой и подумать что делать с этой штукой.
